Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=OrderURL~String~OrderURL~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Coil_Driver.PrjPcb|ReportField=ProjectFullPath~C:\Users\Alex\Documents\repositories\AnserEMT\PCB_Design_Files\Driver PCB\Coil_Driver.PrjPcb|ReportField=Title~Bill of Materials For Project [Coil_Driver.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~814|ReportField=ReportTime~19:01:38|ReportField=ReportDate~27/02/2017|ReportField=ReportDateTime~27/02/2017 19:01:38|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~27/02/2017|ReportField=CurrentTime~18:39:26|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Alex\Documents\repositories\AnserEMT\PCB_Design_Files\Driver PCB\System.SchDoc|ReportField=DocumentName~System.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~27/02/2017|ReportField=Organization~|ReportField=ProjectName~Coil_Driver.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Coil_Driver.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Alex\Documents\repositories\AnserEMT\PCB_Design_Files\Driver PCB\Coil_Driver.PrjPcb|ReportField=PCBDataSourceFileName~PCB1.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\Alex\Documents\repositories\AnserEMT\PCB_Design_Files\Driver PCB\PCB1.PcbDoc
16|10K 5% 0603(1608)|10K 0.1W 5% 0603 (1608 Metric)  SMD|R4_Ch1, R4_Ch2, R4_Ch3, R4_Ch4, R4_Ch5, R4_Ch6, R4_Ch7, R4_Ch8, R5_Ch1, R5_Ch2, R5_Ch3, R5_Ch4, R5_Ch5, R5_Ch6, R5_Ch7, R5_Ch8, R6_Ch1, R6_Ch2, R6_Ch3, R6_Ch4, R6_Ch5, R6_Ch6, R6_Ch7, R6_Ch8, R7_Ch1, R7_Ch2, R7_Ch3, R7_Ch4, R7_Ch5, R7_Ch6, R7_Ch7, R7_Ch8, R11_Ch1, R11_Ch2, R11_Ch3, R11_Ch4, R11_Ch5, R11_Ch6, R11_Ch7, R11_Ch8, R15_IAmp1, R15_IAmp2, R15_IAmp3, R15_IAmp4, R15_IAmp5, R15_IAmp6, R15_IAmp7, R15_IAmp8, R16_IAmp1, R16_IAmp2, R16_IAmp3, R16_IAmp4, R16_IAmp5, R16_IAmp6, R16_IAmp7, R16_IAmp8, R17_IAmp1, R17_IAmp2, R17_IAmp3, R17_IAmp4, R17_IAmp5, R17_IAmp6, R17_IAmp7, R17_IAmp8, R18_IAmp1, R18_IAmp2, R18_IAmp3, R18_IAmp4, R18_IAmp5, R18_IAmp6, R18_IAmp7, R18_IAmp8, R19_IAmp1, R19_IAmp2, R19_IAmp3, R19_IAmp4, R19_IAmp5, R19_IAmp6, R19_IAmp7, R19_IAmp8, R20_IAmp1, R20_IAmp2, R20_IAmp3, R20_IAmp4, R20_IAmp5, R20_IAmp6, R20_IAmp7, R20_IAmp8, R21_IAmp1, R21_IAmp2, R21_IAmp3, R21_IAmp4, R21_IAmp5, R21_IAmp6, R21_IAmp7, R21_IAmp8, R22_IAmp1, R22_IAmp2, R22_IAmp3, R22_IAmp4, R22_IAmp5, R22_IAmp6, R22_IAmp7, R22_IAmp8|RESC0603(1608)_N|CMP-1012-00098-1|104|http://www.digikey.ie/product-detail/en/yageo/RC0603JR-0710KL/311-10KGRCT-ND/729647
17|100K 5% 0603(1608)|100K 0.1W 5% 0603 (1608 Metric)  SMD|R9_Ch1, R9_Ch2, R9_Ch3, R9_Ch4, R9_Ch5, R9_Ch6, R9_Ch7, R9_Ch8|RESC0603(1608)_N|CMP-1012-00122-1|8|http://www.digikey.ie/product-detail/en/yageo/RC0603JR-07100KL/311-100KGRCT-ND/729645
18|3.30 Ohm|3R3 0.25W 5% 1206 (3216 Metric)  SMD|R12_Ch1, R12_Ch2, R12_Ch3, R12_Ch4, R12_Ch5, R12_Ch6, R12_Ch7, R12_Ch8, R13_Ch1, R13_Ch2, R13_Ch3, R13_Ch4, R13_Ch5, R13_Ch6, R13_Ch7, R13_Ch8, R14_Ch1, R14_Ch2, R14_Ch3, R14_Ch4, R14_Ch5, R14_Ch6, R14_Ch7, R14_Ch8|RESC1206(3216)_N|CMP-1014-00014-1|24|
19|TRIMMER 10K|TRIMMER 10K OHM 0.5W TH|R23_Ch1, R23_Ch2, R23_Ch3, R23_Ch4, R23_Ch5, R23_Ch6, R23_Ch7, R23_Ch8, R25_IAmp1, R25_IAmp2, R25_IAmp3, R25_IAmp4, R25_IAmp5, R25_IAmp6, R25_IAmp7, R25_IAmp8, R26_IAmp1, R26_IAmp2, R26_IAmp3, R26_IAmp4, R26_IAmp5, R26_IAmp6, R26_IAmp7, R26_IAmp8|TRIMMER 10K|TRIMMER 10K|24|
20|74FCT807BTSOGI|IC CLK BUFFER 1:10 100MHZ 20SOIC|R24|CLOCK DRIVER 10:1|74FCT807BTSOGI|1|
21|N10226-5212PC|CONN MINI-D 26POS R/A RECPT|R27|CONN MINI-D 26POS R/A RECPT|N10226-5212PC|1|
22|TRAPC5MX_MINIXLR|CONN RCPT 5POS R/A MALE T/H|R28_xlr1, R28_xlr2, R28_xlr3, R28_xlr4, R28_xlr5, R28_xlr6, R28_xlr7, R28_xlr8||TRAPC5MX_MINIXLR|8|
23|Testpoint|0.063" x 0.031" x 0.045" (1.60mm x 0.80mm x 1.15mm)|TP1_Ch1, TP1_Ch2, TP1_Ch3, TP1_Ch4, TP1_Ch5, TP1_Ch6, TP1_Ch7, TP1_Ch8, TP2_Ch1, TP2_Ch2, TP2_Ch3, TP2_Ch4, TP2_Ch5, TP2_Ch6, TP2_Ch7, TP2_Ch8, TP3_Ch1, TP3_Ch2, TP3_Ch3, TP3_Ch4, TP3_Ch5, TP3_Ch6, TP3_Ch7, TP3_Ch8, TP4_Ch1, TP4_Ch2, TP4_Ch3, TP4_Ch4, TP4_Ch5, TP4_Ch6, TP4_Ch7, TP4_Ch8, TP5_Ch1, TP5_Ch2, TP5_Ch3, TP5_Ch4, TP5_Ch5, TP5_Ch6, TP5_Ch7, TP5_Ch8, TP6_Ch1, TP6_Ch2, TP6_Ch3, TP6_Ch4, TP6_Ch5, TP6_Ch6, TP6_Ch7, TP6_Ch8, TP7_Ch1, TP7_Ch2, TP7_Ch3, TP7_Ch4, TP7_Ch5, TP7_Ch6, TP7_Ch7, TP7_Ch8, TP8_Ch1, TP8_Ch2, TP8_Ch3, TP8_Ch4, TP8_Ch5, TP8_Ch6, TP8_Ch7, TP8_Ch8, TP9_Ch1, TP9_Ch2, TP9_Ch3, TP9_Ch4, TP9_Ch5, TP9_Ch6, TP9_Ch7, TP9_Ch8, TP10_Ch1, TP10_Ch2, TP10_Ch3, TP10_Ch4, TP10_Ch5, TP10_Ch6, TP10_Ch7, TP10_Ch8, TP11, TP12_IAmp1, TP12_IAmp2, TP12_IAmp3, TP12_IAmp4, TP12_IAmp5, TP12_IAmp6, TP12_IAmp7, TP12_IAmp8, TP13_IAmp1, TP13_IAmp2, TP13_IAmp3, TP13_IAmp4, TP13_IAmp5, TP13_IAmp6, TP13_IAmp7, TP13_IAmp8, TP14_IAmp1, TP14_IAmp2, TP14_IAmp3, TP14_IAmp4, TP14_IAmp5, TP14_IAmp6, TP14_IAmp7, TP14_IAmp8, TP15_IAmp1, TP15_IAmp2, TP15_IAmp3, TP15_IAmp4, TP15_IAmp5, TP15_IAmp6, TP15_IAmp7, TP15_IAmp8, TP16_IAmp1, TP16_IAmp2, TP16_IAmp3, TP16_IAmp4, TP16_IAmp5, TP16_IAmp6, TP16_IAmp7, TP16_IAmp8, TP17_IAmp1, TP17_IAmp2, TP17_IAmp3, TP17_IAmp4, TP17_IAmp5, TP17_IAmp6, TP17_IAmp7, TP17_IAmp8, TP18_IAmp1, TP18_IAmp2, TP18_IAmp3, TP18_IAmp4, TP18_IAmp5, TP18_IAmp6, TP18_IAmp7, TP18_IAmp8, TP19_IAmp1, TP19_IAmp2, TP19_IAmp3, TP19_IAmp4, TP19_IAmp5, TP19_IAmp6, TP19_IAmp7, TP19_IAmp8|testpad1.6mm_0.8mm|Testpoint|145|http://www.digikey.ie/product-detail/en/te-connectivity-amp-connectors/RCU-0C/A106145CT-ND/3477802
24|TL081CDG4|JFET-Input Operational Amplifier, 7 to 36 V, 0 to 70 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)|U1_Ch1, U1_Ch2, U1_Ch3, U1_Ch4, U1_Ch5, U1_Ch6, U1_Ch7, U1_Ch8, U2_Ch1, U2_Ch2, U2_Ch3, U2_Ch4, U2_Ch5, U2_Ch6, U2_Ch7, U2_Ch8|TI-D8_N|CMP-0017-00506-1|16|http://www.digikey.ie/product-detail/en/texas-instruments/TL081CDR/296-15001-1-ND/562657
25|AD9833BRM-REEL7|Low Power, 12.65 mW, 2.3 V to 5.5 V, Programmable Waveform Generator, 10-Bit, Serial, RM-10, 1000 Reel|U3_Ch1, U3_Ch2, U3_Ch3, U3_Ch4, U3_Ch5, U3_Ch6, U3_Ch7, U3_Ch8|ADI-RM-10_M|CMP-0293-00080-1|8|http://www.digikey.ie/product-detail/en/analog-devices-inc/AD9833BRMZ/AD9833BRMZ-ND/751220
26|LM7171BIM|Very High Speed, High Output Current, Voltage Feedback Amplifier, 8-pin Narrow SOIC|U4_Ch1, U4_Ch2, U4_Ch3, U4_Ch4, U4_Ch5, U4_Ch6, U4_Ch7, U4_Ch8|D0008A_L|CMP-0055-00670-3|8|http://www.digikey.ie/product-detail/en/texas-instruments/LM7171BIMX-NOPB/LM7171BIMX-NOPBCT-ND/3767451
27|LMH6321TSX|300 mA High Speed Buffer with Adjustable Current Limit, 7-pin TO-263|U5_Ch1, U5_Ch2, U5_Ch3, U5_Ch4, U5_Ch5, U5_Ch6, U5_Ch7, U5_Ch8|TS7B_N|CMP-0055-00076-2|8|http://www.digikey.ie/product-detail/en/texas-instruments/LMH6321TS-NOPB/LMH6321TS-NOPB-ND/1117634
28|TL071ID|Low-Noise JFET-Input General-Purpose Operational Amplifier, 7 to 36 V, -40 to 85 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)|U8_IAmp1, U8_IAmp2, U8_IAmp3, U8_IAmp4, U8_IAmp5, U8_IAmp6, U8_IAmp7, U8_IAmp8, U10_IAmp1, U10_IAmp2, U10_IAmp3, U10_IAmp4, U10_IAmp5, U10_IAmp6, U10_IAmp7, U10_IAmp8|D0008A_L|CMP-0017-00492-2|16|http://www.digikey.ie/product-detail/en/stmicroelectronics/TL071CDT/497-4055-1-ND/720975
29|INA2128U|Dual, Low Power Instrumentation Amplifier, -40 to 85 degC, 16-pin SOIC (DW16), Green (RoHS & no Sb/Br)|U9_IAmp1, U9_IAmp2, U9_IAmp3, U9_IAmp4, U9_IAmp5, U9_IAmp6, U9_IAmp7, U9_IAmp8|DW0016A_N|CMP-0985-00122-2|8|http://www.digikey.ie/product-detail/en/texas-instruments/INA2128UA/INA2128UA-ND/301034
30|ECS-100AX-060|OSC XO 6.000MHZ TTL PC PIN|X1|ECS-100AX-060|ECS-100AX-060|1|
